Project	Task	SAMPLE_ALIAS	HET_HOMVAR_RATIO	PCT_GQ0_VARIANTS	TOTAL_GQ0_VARIANTS	TOTAL_HET_DEPTH	TOTAL_SNPS	NUM_IN_DB_SNP	NOVEL_SNPS	FILTERED_SNPS	PCT_DBSNP	DBSNP_TITV	NOVEL_TITV	TOTAL_INDELS	NOVEL_INDELS	FILTERED_INDELS	PCT_DBSNP_INDELS	NUM_IN_DB_SNP_INDELS	DBSNP_INS_DEL_RATIO	NOVEL_INS_DEL_RATIO	TOTAL_MULTIALLELIC_SNPS	NUM_IN_DB_SNP_MULTIALLELIC	TOTAL_COMPLEX_INDELS	NUM_IN_DB_SNP_COMPLEX_INDELS	SNP_REFERENCE_BIAS	NUM_SINGLETONS
kfdrc-harmonization/sd-46sk55a3	alignment-BS_MRBMCBCD	BS_MRBMCBCD	1.777106	0.000863	4182	92887733	3923116	3622274	300842	0	0.923316	2.045417	1.094752	831252	90251	0	0.891428	741001	0.955628	1.068222	1930	1434	82268	77322	0.53025	3102081
kfdrc-harmonization/sd-46sk55a3	alignment-BS_A4W609ZE	BS_A4W609ZE	1.743728	0.000886	4288	96085089	3921842	3592115	329727	0	0.915926	2.046551	1.092734	825434	92043	0	0.888491	733391	0.954818	1.0464	1875	1415	82446	77248	0.536205	3076407
kfdrc-harmonization/sd-46sk55a3	alignment-BS_HKC7XPTE	BS_HKC7XPTE	1.85237	0.000907	4041	88828907	3614751	3292396	322355	0	0.910822	2.045979	1.091232	755021	85626	0	0.886591	669395	0.954769	1.040755	1907	1416	76264	71347	0.535095	2893984
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ETAKQQM8	BS_ETAKQQM8	1.7702	0.000825	4017	97552026	3944408	3622898	321510	0	0.91849	2.046831	1.114794	830809	91472	0	0.8899	739337	0.957326	1.052737	1952	1438	82575	77367	0.535556	3111157
kfdrc-harmonization/sd-46sk55a3	alignment-BS_CN8SBP5R	BS_CN8SBP5R	1.792761	0.000841	4060	91274107	3893755	3670210	223545	0	0.942589	2.050118	1.209292	836131	87865	0	0.894915	748266	0.954999	1.102536	1684	1459	86105	80682	0.523035	3098431
kfdrc-harmonization/sd-46sk55a3	alignment-BS_J77M986W	BS_J77M986W	1.798102	0.000837	4067	96378261	3938488	3614969	323519	0	0.917857	2.045603	1.104818	827687	90014	0	0.891246	737673	0.959145	1.047029	1934	1422	81665	76530	0.535701	3122151
kfdrc-harmonization/sd-46sk55a3	alignment-BS_C9VVX3PP	BS_C9VVX3PP	1.810419	0.000763	3724	98978167	3950396	3618476	331920	0	0.915978	2.044556	1.097123	831638	92958	0	0.888223	738680	0.953177	1.053685	1788	1284	84655	79058	0.537067	3142130
kfdrc-harmonization/sd-46sk55a3	alignment-BS_QJ1A457B	BS_QJ1A457B	1.771259	0.000881	4250	89079872	3912959	3594036	318923	0	0.918496	2.049155	1.102341	821810	89013	0	0.891687	732797	0.952568	1.037424	1864	1351	79428	74460	0.537321	3083705
kfdrc-harmonization/sd-46sk55a3	alignment-BS_8P2RN0Q5	BS_8P2RN0Q5	1.701557	0.000846	3949	82542002	3760354	3573816	186538	0	0.950393	2.051518	1.176081	816233	81350	0	0.900335	734883	0.954169	1.10185	1468	1311	82707	77610	0.521286	2941122
kfdrc-harmonization/sd-46sk55a3	alignment-BS_AP470DC6	BS_AP470DC6	1.732196	0.000771	3003	72746318	3133627	2971388	162239	0	0.948226	2.053977	1.147069	680803	67588	0	0.900723	613215	0.957365	1.108764	1214	1076	69706	65465	0.520541	2467943
kfdrc-harmonization/sd-46sk55a3	alignment-BS_EDQ6RQJJ	BS_EDQ6RQJJ	1.766922	0.000714	3460	95767672	3928957	3605439	323518	0	0.917658	2.045685	1.123393	825612	89963	0	0.891035	735649	0.957763	1.060583	1981	1455	80175	75337	0.535341	3093986
kfdrc-harmonization/sd-46sk55a3	alignment-BS_3ETE26QW	BS_3ETE26QW	1.771385	0.000833	4059	98094862	3945182	3611797	333385	0	0.915496	2.043143	1.088826	830726	92257	0	0.888944	738469	0.954387	1.057976	2051	1507	83281	77982	0.536233	3112930
kfdrc-harmonization/sd-46sk55a3	alignment-BS_GHM92RJB	BS_GHM92RJB	1.269173	0.000923	4009	77592464	3516844	3192712	324132	0	0.907834	2.041666	1.075335	747937	85469	0	0.885727	662468	0.95371	1.039979	1774	1261	69070	64336	0.544074	2429416
kfdrc-harmonization/sd-46sk55a3	alignment-BS_GEPPG8TH	BS_GEPPG8TH	1.698711	0.000657	2876	85065834	3519763	3346525	173238	0	0.950781	2.05655	1.201693	770898	77622	0	0.89931	693276	0.956638	1.097495	1448	1286	78628	74049	0.521553	2756325
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5HHF404H	BS_5HHF404H	1.725297	0.000468	2068	89039850	3583823	3281077	302746	0	0.915524	2.051168	1.126055	757777	83990	0	0.889163	673787	0.954524	1.034494	1740	1240	72897	68502	0.535602	2800392
kfdrc-harmonization/sd-46sk55a3	alignment-BS_26EGNNXQ	BS_26EGNNXQ	1.797601	0.000704	3192	91920847	3666473	3346422	320051	0	0.912709	2.048226	1.09776	774964	90267	0	0.883521	684697	0.954797	1.017545	1909	1383	80664	75474	0.538429	2912478
kfdrc-harmonization/sd-46sk55a3	alignment-BS_A769418E	BS_A769418E	1.510837	0.000733	3166	79268947	3481964	3233152	248812	0	0.928543	2.04834	1.113627	749358	81253	0	0.89157	668105	0.950558	1.06798	1816	1305	75004	70331	0.527524	2597330
kfdrc-harmonization/sd-46sk55a3	alignment-BS_JA7BB05A	BS_JA7BB05A	1.785934	0.000648	2892	81138624	3587802	3417474	170328	0	0.952526	2.05987	1.230504	784543	79195	0	0.899056	705348	0.956024	1.09727	1304	1183	80583	75908	0.520774	2860650
kfdrc-harmonization/sd-46sk55a3	alignment-BS_1X4K6T01	BS_1X4K6T01	1.805691	0.000625	2918	94654631	3776925	3444643	332282	0	0.912023	2.053217	1.10962	799044	91207	0	0.885855	707837	0.956226	1.026057	1861	1378	80299	75158	0.535951	3003394
kfdrc-harmonization/sd-46sk55a3	alignment-BS_4WPB3V11	BS_4WPB3V11	1.791402	0.000745	3625	97173391	3932215	3637608	294607	0	0.925079	2.049109	1.145327	836919	92090	0	0.889965	744829	0.957634	1.048356	1690	1333	86816	81177	0.527442	3123306
kfdrc-harmonization/sd-46sk55a3	alignment-BS_B8XSH31A	BS_B8XSH31A	1.724056	0.000806	3367	77326331	3366246	3179659	186587	0	0.944571	2.051341	1.20479	727527	73603	0	0.898831	653924	0.956339	1.063963	1471	1310	74143	69793	0.521424	2643897
kfdrc-harmonization/sd-46sk55a3	alignment-BS_TN4C50JX	BS_TN4C50JX	1.782304	0.000859	3783	88809100	3568435	3244043	324392	0	0.909094	2.048772	1.109318	749191	84913	0	0.88666	664278	0.955663	1.009204	1803	1320	75234	70466	0.537813	2820427
kfdrc-harmonization/sd-46sk55a3	alignment-BS_3YAB7W0J	BS_3YAB7W0J	1.821843	0.000815	4020	100669896	3997046	3649771	347275	0	0.913117	2.042394	1.128015	838907	95115	0	0.88662	743792	0.951974	1.033328	2116	1523	85044	79541	0.536947	3184581
kfdrc-harmonization/sd-46sk55a3	alignment-BS_4X4MD0CH	BS_4X4MD0CH	1.821153	0.000789	3863	100799684	3968501	3631467	337034	0	0.915073	2.045335	1.123571	834205	93105	0	0.888391	741100	0.955001	1.036373	2010	1440	84375	78908	0.533924	3162104
kfdrc-harmonization/sd-46sk55a3	alignment-BS_G55MY8HF	BS_G55MY8HF	1.772432	0.000826	4010	95619997	3930775	3606070	324705	0	0.917394	2.044765	1.097659	828975	91744	0	0.889328	737231	0.951457	1.041614	1932	1428	82189	77052	0.534885	3102450
kfdrc-harmonization/sd-46sk55a3	alignment-BS_QTBG9JXZ	BS_QTBG9JXZ	1.695774	0.000634	2952	86726464	3749651	3582515	167136	0	0.955426	2.053525	1.296424	816870	79896	0	0.902193	736974	0.9549	1.107629	1482	1338	82606	77745	0.51878	2930677
kfdrc-harmonization/sd-46sk55a3	alignment-BS_G5PJJS06	BS_G5PJJS06	1.725094	0.000647	2865	90051997	3585845	3281651	304194	0	0.915168	2.049983	1.11397	757583	83919	0	0.889228	673664	0.952332	1.022534	1748	1218	76089	71345	0.538464	2803764
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ZHM50P6J	BS_ZHM50P6J	1.700005	0.000695	3259	90785521	3773500	3592839	180661	0	0.952124	2.051013	1.272523	822912	83057	0	0.899069	739855	0.955628	1.108795	1582	1398	85112	79992	0.520747	2954228
kfdrc-harmonization/sd-46sk55a3	alignment-BS_9KMB11RG	BS_9KMB11RG	1.753757	0.000652	3002	94024398	3724428	3415567	308861	0	0.917072	2.050687	1.123398	791133	87700	0	0.889146	703433	0.956785	1.047296	1818	1342	79949	74907	0.535955	2933134
kfdrc-harmonization/sd-46sk55a3	alignment-BS_BQKDWT5V	BS_BQKDWT5V	1.78137	0.000651	3166	96783105	3935585	3617914	317671	0	0.919282	2.047108	1.141275	834236	92498	0	0.889122	741738	0.952451	1.051363	1780	1319	83563	78211	0.534931	3115061
kfdrc-harmonization/sd-46sk55a3	alignment-BS_E91JBHXE	BS_E91JBHXE	1.764322	0.000642	3141	101786752	3958414	3629575	328839	0	0.916927	2.045643	1.140335	837104	93859	0	0.887877	743245	0.955074	1.032636	1771	1291	84921	79295	0.536745	3121712
kfdrc-harmonization/sd-46sk55a3	alignment-BS_VJR2BY4A	BS_VJR2BY4A	1.803809	0.000754	3488	93848037	3748208	3388342	359866	0	0.90399	2.048276	1.180398	787716	92420	0	0.882673	695296	0.953616	1.041123	1900	1387	80776	75495	0.536462	2977034
kfdrc-harmonization/sd-46sk55a3	alignment-BS_J023WJM3	BS_J023WJM3	2.13163	0.00072	3474	103168310	3914178	3553834	360344	0	0.907939	2.048332	1.064618	808158	100400	0	0.875767	707758	0.949124	1.016834	2154	1586	88969	83194	0.534969	3282993
kfdrc-harmonization/sd-46sk55a3	alignment-BS_V5A6VTRN	BS_V5A6VTRN	2.39393	0.000755	4118	119093407	4423458	4061219	362239	0	0.91811	2.048741	1.167227	913278	116233	0	0.87273	797045	0.946662	1.024789	2213	1755	104299	97280	0.529269	3847405
kfdrc-harmonization/sd-46sk55a3	alignment-BS_VGVSVC47	BS_VGVSVC47	1.899427	0.000676	3415	102413110	4092300	3769373	322927	0	0.921089	2.047251	1.206238	861207	100769	0	0.882991	760438	0.955341	1.048067	1907	1547	89345	83399	0.531088	3311003
kfdrc-harmonization/sd-46sk55a3	alignment-BS_2CYMWFZG	BS_2CYMWFZG	1.518389	0.000786	3558	88180639	3661032	3338286	322746	0	0.911843	2.044126	1.085192	772950	87972	0	0.886187	684978	0.950254	1.062214	1781	1281	79317	73991	0.539168	2727570
kfdrc-harmonization/sd-46sk55a3	alignment-BS_NXDJW69M	BS_NXDJW69M	1.488088	0.000765	3675	88296840	3873054	3602625	270429	0	0.930177	2.042444	1.131007	831587	90193	0	0.891541	741394	0.947925	1.077462	1703	1375	85377	79771	0.529477	2871640
kfdrc-harmonization/sd-46sk55a3	alignment-BS_QQK3P0XH	BS_QQK3P0XH	2.560713	0.000632	3427	126382363	4370981	4141681	229300	0	0.94754	2.058564	1.35583	924625	112366	0	0.878474	812259	0.948102	1.080544	2036	1893	109262	102452	0.518912	3896527
kfdrc-harmonization/sd-46sk55a3	alignment-BS_YBF0T9PD	BS_YBF0T9PD	1.849241	0.000784	3553	95191081	3675805	3358507	317298	0	0.913679	2.051441	1.110283	769440	85044	0	0.889473	684396	0.953871	1.044474	1819	1312	77874	72956	0.536188	2942248
kfdrc-harmonization/sd-46sk55a3	alignment-BS_C0ZWVQY3	BS_C0ZWVQY3	1.795203	0.000852	4085	93946100	3869735	3632659	237076	0	0.938736	2.048952	1.173972	828695	85937	0	0.896298	742758	0.952982	1.069724	1733	1449	83801	78811	0.525079	3078397
kfdrc-harmonization/sd-46sk55a3	alignment-BS_4TWE4EW9	BS_4TWE4EW9	1.933338	0.000831	4052	97238374	3931665	3722893	208772	0	0.9469	2.053637	1.264093	843893	89115	0	0.8944	754778	0.953486	1.086807	1721	1548	88158	83020	0.520353	3212926
kfdrc-harmonization/sd-46sk55a3	alignment-BS_E2YY0P88	BS_E2YY0P88	1.479116	0.000866	4183	90674094	3913221	3571033	342188	0	0.912556	2.038104	1.106032	826792	93315	0	0.887136	733477	0.952762	1.05115	2026	1414	78545	73422	0.539854	2881349
kfdrc-harmonization/sd-46sk55a3	alignment-BS_8MH2K4MC	BS_8MH2K4MC	1.693441	0.000659	3070	87754202	3752563	3568131	184432	0	0.950852	2.0535	1.208608	816089	81809	0	0.899755	734280	0.959611	1.093158	1494	1346	82730	77733	0.520369	2930745
kfdrc-harmonization/sd-46sk55a3	alignment-BS_62ZZN52Z	BS_62ZZN52Z	1.792861	0.000759	3378	90428446	3603163	3287300	315863	0	0.912337	2.049503	1.072062	759484	85380	0	0.887582	674104	0.954151	1.02471	1804	1321	76387	71567	0.535382	2856107
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5CG16MTV	BS_5CG16MTV	1.728193	0.000705	3123	83563812	3563219	3383838	179381	0	0.949658	2.049374	1.157344	777594	78587	0	0.898936	699007	0.954346	1.099797	1377	1218	79480	74620	0.520761	2806284
kfdrc-harmonization/sd-46sk55a3	alignment-BS_81JV82M4	BS_81JV82M4	1.763889	0.000792	3858	94272685	3944200	3613929	330271	0	0.916264	2.045037	1.093874	831899	92472	0	0.888842	739427	0.954667	1.026872	1916	1453	81540	76517	0.536654	3106942
kfdrc-harmonization/sd-46sk55a3	alignment-BS_5K54HF9V	BS_5K54HF9V	1.771355	0.000693	3371	98070662	3934680	3607873	326807	0	0.916942	2.045048	1.093829	832194	92126	0	0.889297	740068	0.953485	1.04411	1965	1443	83908	78594	0.53712	3107524
kfdrc-harmonization/sd-46sk55a3	alignment-BS_QGWR8GQ0	BS_QGWR8GQ0	1.721226	0.000646	3099	92629747	3876739	3600856	275883	0	0.928836	2.046672	1.102879	828044	89046	0	0.892462	738998	0.954008	1.058011	1864	1359	83327	78061	0.52868	3035430
kfdrc-harmonization/sd-46sk55a3	alignment-BS_WP1P52QQ	BS_WP1P52QQ	1.765049	0.000993	4674	92668551	3788301	3583455	204846	0	0.945927	2.048537	1.10799	822257	86649	0	0.894621	735608	0.957539	1.083309	1491	1310	83504	78345	0.522165	3003987
kfdrc-harmonization/sd-46sk55a3	alignment-BS_E0ZSDBA8	BS_E0ZSDBA8	1.768813	0.001052	5031	95841516	3859956	3604635	255321	0	0.933854	2.047232	1.125072	827819	90796	0	0.890319	737023	0.958084	1.073015	1687	1407	83237	77839	0.527854	3055517
kfdrc-harmonization/sd-46sk55a3	alignment-BS_H9Q5N39V	BS_H9Q5N39V	1.848332	0.000805	3696	94904023	3716840	3383205	333635	0	0.910237	2.050634	1.093383	783788	90933	0	0.883983	692855	0.95465	1.023837	1810	1347	80459	75286	0.535416	2979852
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ZPRCJ8PE	BS_ZPRCJ8PE	2.182281	0.000762	3952	107873703	4185941	3955539	230402	0	0.944958	2.053907	1.21775	887932	102411	0	0.884663	785521	0.949396	1.071671	1880	1693	99332	93090	0.519224	3556081
kfdrc-harmonization/sd-46sk55a3	alignment-BS_HZ75B8HA	BS_HZ75B8HA	2.359625	0.000718	3987	124662385	4510744	4124817	385927	0	0.914443	2.052438	1.167618	925186	121029	0	0.869184	804157	0.946423	1.022104	2482	1884	105993	98803	0.530804	3902004
kfdrc-harmonization/sd-46sk55a3	alignment-BS_S19AD5QY	BS_S19AD5QY	1.992858	0.000797	3768	97226357	3809283	3601905	207378	0	0.94556	2.056972	1.144949	819618	89369	0	0.890963	730249	0.95029	1.067913	1712	1559	88263	82802	0.519946	3148767
kfdrc-harmonization/sd-46sk55a3	alignment-BS_C38BKZVE	BS_C38BKZVE	2.056701	0.000783	3576	92683598	3706607	3372284	334323	0	0.909804	2.043012	1.110585	768283	91314	0	0.881145	676969	0.94993	1.021473	1915	1391	80017	74868	0.535289	3071737
kfdrc-harmonization/sd-46sk55a3	alignment-BS_GFR7ESBA	BS_GFR7ESBA	1.783646	0.000796	3898	93369693	3971751	3638317	333434	0	0.916049	2.048211	1.158931	833872	92206	0	0.889424	741666	0.953593	1.038152	1932	1431	82165	77044	0.536143	3138621
kfdrc-harmonization/sd-46sk55a3	alignment-BS_PK9AJJGJ	BS_PK9AJJGJ	1.718048	0.000788	3900	94986413	4011842	3660869	350973	0	0.912516	2.045192	1.153697	843173	94381	0	0.888065	748792	0.951433	1.04558	1914	1441	85132	79676	0.535593	3129583
kfdrc-harmonization/sd-46sk55a3	alignment-BS_XYARQB3R	BS_XYARQB3R	2.284373	0.000745	3723	107459862	4044887	3739195	305692	0	0.924425	2.056988	1.211554	841460	106956	0	0.872892	734504	0.943904	1.039044	2203	1879	98894	92399	0.524823	3476160
kfdrc-harmonization/sd-46sk55a3	alignment-BS_JTAQ2YR1	BS_JTAQ2YR1	1.751449	0.000814	3879	93271426	3838560	3624166	214394	0	0.944147	2.051567	1.225597	830603	86259	0	0.896149	744344	0.954921	1.081339	1684	1489	85648	80451	0.521313	3033717
kfdrc-harmonization/sd-46sk55a3	alignment-BS_MAQPDZE7	BS_MAQPDZE7	1.799928	0.000818	3978	101232901	3933688	3611762	321926	0	0.918162	2.045644	1.084878	832331	93341	0	0.887856	738990	0.954183	1.03739	1797	1301	83801	78407	0.535368	3124901
kfdrc-harmonization/sd-46sk55a3	alignment-BS_DE35ZJZP	BS_DE35ZJZP	1.697547	0.000787	3481	83318324	3558951	3366909	192042	0	0.94604	2.058563	1.209233	773480	79510	0	0.897205	693970	0.956857	1.074679	1550	1378	77866	73379	0.520609	2781679
kfdrc-harmonization/sd-46sk55a3	alignment-BS_XP2JQRWV	BS_XP2JQRWV	1.785489	0.000475	2156	86105116	3677585	3380022	297563	0	0.919087	2.054528	1.135839	777931	84628	0	0.891214	693303	0.951427	1.041098	1737	1316	74728	70165	0.534697	2909787
kfdrc-harmonization/sd-46sk55a3	alignment-BS_6YJC551E	BS_6YJC551E	1.736159	0.000711	3325	86646814	3765145	3592045	173100	0	0.954026	2.052417	1.241647	818743	80306	0	0.901915	738437	0.955078	1.104455	1548	1398	83873	78793	0.520774	2968283
kfdrc-harmonization/sd-46sk55a3	alignment-BS_PTBSGXBX	BS_PTBSGXBX	1.769612	0.000716	3480	98606658	3934936	3610478	324458	0	0.917544	2.044587	1.09498	833216	94130	0	0.887028	739086	0.954024	1.039742	1884	1385	83058	77809	0.536522	3106392
kfdrc-harmonization/sd-46sk55a3	alignment-BS_8AKB8QZX	BS_8AKB8QZX	1.592428	0.000635	2932	84544824	3716998	3540173	176825	0	0.952428	2.051739	1.271997	809686	79160	0	0.902234	730526	0.956941	1.103138	1331	1175	78353	73698	0.520688	2834213
kfdrc-harmonization/sd-46sk55a3	alignment-BS_3S67FQ20	BS_3S67FQ20	1.74248	0.000691	3249	88732963	3784618	3574313	210305	0	0.944432	2.047859	1.228539	819450	84316	0	0.897107	735134	0.954234	1.070934	1479	1323	85238	80199	0.52032	2986069
kfdrc-harmonization/sd-46sk55a3	alignment-BS_6SE4NMVJ	BS_6SE4NMVJ	1.965174	0.00072	3578	91844722	3999831	3798995	200836	0	0.949789	2.05345	1.288104	861962	95095	0	0.889676	766867	0.953672	1.084228	1646	1550	94656	88867	0.517045	3292643
kfdrc-harmonization/sd-46sk55a3	alignment-BS_62ZDKVXH	BS_62ZDKVXH	2.010233	0.00073	3453	93422103	3811166	3598454	212712	0	0.944187	2.057583	1.268976	819724	91243	0	0.888691	728481	0.953619	1.073045	1630	1478	90205	84703	0.519682	3160271
kfdrc-harmonization/sd-46sk55a3	alignment-BS_TBTNYR2C	BS_TBTNYR2C	1.826964	0.000824	4055	104681164	3985145	3642897	342248	0	0.914119	2.042982	1.086204	840827	96284	0	0.885489	744543	0.957335	1.041516	1896	1414	86288	80459	0.536356	3182261
kfdrc-harmonization/sd-46sk55a3	alignment-BS_G1D4JKM0	BS_G1D4JKM0	1.774406	0.00094	4584	89438902	3955245	3623859	331386	0	0.916216	2.045536	1.093021	829089	91648	0	0.889459	737441	0.955066	1.035763	1835	1374	80508	75423	0.536252	3118193
kfdrc-harmonization/sd-46sk55a3	alignment-BS_MV0MQJTY	BS_MV0MQJTY	1.782549	0.000887	4012	95369163	3662987	3339005	323982	0	0.911552	2.048292	1.068454	771703	88593	0	0.885198	683110	0.955005	1.036808	1886	1353	79480	74298	0.534854	2898958
kfdrc-harmonization/sd-46sk55a3	alignment-BS_GGS23JNS	BS_GGS23JNS	1.826473	0.001041	5095	100501141	3971680	3619433	352247	0	0.91131	2.043146	1.020924	830271	93239	0	0.8877	737032	0.957131	1.038635	1804	1358	82465	77118	0.537053	3164020
kfdrc-harmonization/sd-46sk55a3	alignment-BS_CDCDMD42	BS_CDCDMD42	1.71876	0.001119	5240	87916189	3773954	3590020	183934	0	0.951262	2.053374	1.031118	814642	79706	0	0.902158	734936	0.958091	1.125323	1472	1344	81109	76453	0.520015	2959112
kfdrc-harmonization/sd-46sk55a3	alignment-BS_G1SA2DWS	BS_G1SA2DWS	1.743476	0.001099	5162	91123719	3788276	3582991	205285	0	0.94581	2.050795	1.043613	816006	82680	0	0.898677	733326	0.95934	1.096508	1513	1341	82003	77081	0.521393	2985287
kfdrc-harmonization/sd-46sk55a3	alignment-BS_Q2V7RVPG	BS_Q2V7RVPG	1.737163	0.001086	5113	89050685	3794970	3587764	207206	0	0.9454	2.050991	1.060931	817899	83105	0	0.898392	734794	0.956284	1.101689	1476	1309	82406	77505	0.521477	2987014
kfdrc-harmonization/sd-46sk55a3	alignment-BS_WACVZGZE	BS_WACVZGZE	1.69701	0.000926	4028	81016142	3502984	3322877	180107	0	0.948585	2.057937	1.122152	760165	75708	0	0.900406	684457	0.955189	1.106042	1364	1202	75940	71462	0.521103	2736320
kfdrc-harmonization/sd-46sk55a3	alignment-BS_HJ7KDBRX	BS_HJ7KDBRX	1.678347	0.00073	3222	80621096	3554244	3386249	167995	0	0.952734	2.057953	1.207527	773320	75992	0	0.901733	697328	0.959502	1.11171	1518	1373	75852	71473	0.519437	2765277
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ASF3WE7H	BS_ASF3WE7H	1.726342	0.000857	3972	87696600	3757771	3423500	334271	0	0.911045	2.052848	1.11031	790723	90552	0	0.885482	700171	0.955916	1.016209	1827	1406	77584	72497	0.538299	2935819
kfdrc-harmonization/sd-46sk55a3	alignment-BS_HWGZ25TG	BS_HWGZ25TG	1.719792	0.000779	3655	89889040	3779917	3590071	189846	0	0.949775	2.052994	1.169247	819284	82134	0	0.899749	737150	0.952374	1.087268	1499	1303	84244	79231	0.521663	2967910
kfdrc-harmonization/sd-46sk55a3	alignment-BS_8PWB0MEQ	BS_8PWB0MEQ	1.77715	0.000631	3071	98923406	3945133	3612419	332714	0	0.915665	2.046236	1.093291	827110	90423	0	0.890676	736687	0.953191	1.005656	1926	1391	84631	79343	0.537336	3114776
kfdrc-harmonization/sd-46sk55a3	alignment-BS_W6GJ9D46	BS_W6GJ9D46	1.724053	0.000716	3155	84766192	3543516	3362708	180808	0	0.948975	2.053365	1.188985	770941	78169	0	0.898606	692772	0.95516	1.067307	1466	1281	79309	74594	0.521011	2787000
kfdrc-harmonization/sd-46sk55a3	alignment-BS_AG9B28HM	BS_AG9B28HM	1.710555	0.001032	4834	90437236	3782296	3599316	182980	0	0.951622	2.04989	1.232988	813083	78243	0	0.90377	734840	0.956188	1.123399	1495	1329	80647	75943	0.521468	2957396
kfdrc-harmonization/sd-46sk55a3	alignment-BS_ZWVV6598	BS_ZWVV6598	1.687018	0.001026	4792	86704442	3769870	3582005	187865	0	0.950167	2.055239	1.205532	813190	79253	0	0.902541	733937	0.956555	1.117705	1514	1338	79394	74706	0.520982	2933654
kfdrc-harmonization/sd-46sk55a3	alignment-BS_6KF5NC4A	BS_6KF5NC4A	1.707827	0.000969	4524	91741712	3764724	3578886	185838	0	0.950637	2.051532	1.19581	812729	79131	0	0.902635	733598	0.958538	1.11518	1602	1436	80524	75719	0.520856	2944454
